age,gender,height,weight,bodyfat,diastolic,systolic,sitandbend,situps,broadjump,gripforce
59,0,145.7,51.6,41.4,99,154,20.1,12,122,24.8
23,0,158.2,47.9,30.4,75,116,10.9,26,131,21.6
41,1,179.3,73.4,18,99,150,17.3,47,246,43.3
35,1,169.9,61.7,22.2,85,136,14.3,37,216,38.1
30,1,163.7,65.5,23.6,84,116,14.5,42,230,43.5
44,0,167.8,63.8,24.3,63,117,14.8,43,170,29.1
28,1,170,74,28,83,130,6,50,193,37.7
22,1,169.5,65,20.1,60,110,16.2,40,151,38.1
21,1,187.9,74.7,21.06,73,123,7.7,45,221,44.7
53,1,170,75.1,22.4,99,142,7.4,29,181,42.8
21,0,158.4,48.9,22.7,81,128,21.4,41,163,25
63,0,157.6,58.2,29.2,76,121,17.9,27,126,22.9
23,0,161.1,53,28.4,72,116,-4.4,22,143,28.9
62,1,174.7,71.9,23.6,74,130,16.6,40,205,41.2
32,1,179.7,90,29.3,96,151,1.5,50,216,49.7
38,1,172.3,71.6,15.5,65,111,6.2,47,230,47.4
24,1,180.3,80.2,24.7,77,127,19,57,235,64.3
23,1,183.3,79.4,19.8,79,136,23,48,199,48.9
63,1,172.4,71.66,18.9,79,152,15.8,38,173,43.1
27,1,178.8,73.38,7.8,75,126,21.5,54,223,49.6
59,0,158.2,54.34,29.6,74,133,28.6,42,148,25.1
36,0,166.5,53.7,25.9,84,130,18.9,40,186,27.4
34,0,167.5,65.8,26,61,115,20.5,50,174,31
23,1,180.4,90.5,26.8,70,120,4.5,42,185,46.1
21,0,158.8,49.7,28.4,84,139,24.2,28,174,15.2
24,1,177,89.9,18.9,80,117,12.7,54,232,56.8
55,1,170,75.5,20.6,67,114,12.5,40,216,45.4
43,1,169,68.6,12.4,80,120,20.2,55,239,45.7
22,0,159.3,54,21.3,66,108,27.2,33,189,23
46,1,173.9,69.4,17.8,88,138,14.5,46,237,43.9
24,1,176,77.5,24.7,75,114,9.3,38,200,35.6
56,0,164,57.6,23.2,95,127,23.6,27,149,24.4
28,1,171.4,76.8,25.1,84,130,23,41,217,47.8
53,0,160.4,59.3,20.3,57,102,-5,13,150,22.5
30,1,179.2,76.5,12.6,69,132,16.7,50,215,55.4
21,0,153,56.9,40.2,70,120,19.4,22,160,18.6
59,0,162,65.3,37.6,74,133,16.5,11,125,24.7
27,0,164.6,56.9,29.4,68,148,19.9,51,183,26.8
38,1,179.9,82.2,18,97,145,20,61,241,54.3
41,1,167.9,72.4,20.7,87,132,23.3,60,212,44.6
21,0,168.4,60.2,34.2,82,138,16.8,32,162,25.8
23,0,163.7,53.4,29.6,73,116,28,43,204,26.6
21,0,166.3,47.6,25.3,73,112,10.1,42,172,23.8
63,1,160.5,68.2,28.7,84,193,14.3,31,174,37.1
22,1,182.9,72.4,12.3,80,133,11.2,45,225,52.6
28,1,170.3,52.5,16.8,95,134,16.5,25,185,30.1
25,0,154,57.9,33.1,62,112,18.7,36,158,30.2
39,1,176.9,90.1,21.5,79,134,9.3,45,225,46.4
22,1,180.6,80,25.2,70,142,20.4,49,221,35.6
30,1,170.2,62.9,14.7,78,134,27.8,65,240,42.8
30,1,185.2,108.9,23.1,98,143,27.7,52,231,54
24,0,162.8,59.7,32.6,81,134,21.1,47,158,27.7
64,1,163.8,68.5,30.9,87,145,18.8,26,182,35.5
22,0,166,68.8,31.3,84,146,27.8,38,181,33.5
64,0,155.5,60,34.9,85,130,12.8,20,100,17
26,1,170.1,67.1,16.4,68,113,15.4,51,225,35.2
39,0,159.3,50.6,30.8,78,128,19.6,32,167,25.2
50,1,165.2,67,28.4,96,143,13.3,38,205,39
45,0,159.2,59.1,30.7,75,106,21.7,35,137,25
52,0,150.3,49.1,33.6,70,103,19.5,16,130,20.8
25,1,184,75.7,9.2,87,130,21.8,58,230,51.5
25,1,175.3,63.7,9.9,75,119,11.5,55,221,44.6
35,1,177.3,82.7,23.8,83,125,12.1,51,197,49
63,1,169.4,76.1,24.3,79,135,17.3,28,168,40.4
31,1,167,71.1,20,81,140,14.6,53,228,46.9
42,0,158.1,51,14,68,112,20.3,30,121,23.9
25,0,158.6,46.2,17.8,62,115,19.6,21,135,22.1
24,0,156.1,49.4,25.1,70,110,23.8,38,137,21.7
22,1,175.1,67.5,18.3,78,118,24.9,60,163,39.4
26,1,172.9,83.3,31.5,64,133,9.2,44,174,45.2
22,0,166,54.9,23.5,82,155,21.5,46,167,28.1
46,1,168,58.7,23.2,86,155,17.4,38,182,32.9
37,1,181.2,86,23,83,137,21.3,44,222,52.8
28,1,170,84.2,13.5,93,139,23.5,51,241,42.6
24,1,176.1,74.8,24.3,96,125,-12,1,200,35.7
27,1,170,75.9,34.4,82,132,-6.6,49,202,35.2
28,1,171,74.6,25.2,83,143,8,52,213,42.4
23,0,163.5,58.5,27.9,85,133,26.8,39,168,35.7
39,1,170.8,68.9,19.9,78,117,7.4,52,215,43.3
55,0,154.6,58.9,41.3,80,130,18.5,27,115,23.1
41,1,176.2,93.1,35.8,85,135,7.1,1,182,36.3
36,0,165.8,55.78,26.7,73,124,23.9,30,152,25.4
29,1,172.7,71.8,15.7,86,148,19.7,57,254,52.2
35,1,173.1,77.6,22.8,8,122,16.7,47,216,46.4
41,1,177,81.7,24.2,95,126,7.8,39,213,46.3
23,0,161.8,58.7,29.6,76,124,10.3,44,126,29
22,1,175.8,73.3,17.5,83,120,7.2,43,232,50.5
52,0,159.5,55.2,31.5,68,103,15,16,119,24.4
63,0,175.1,81.2,26.3,87,143,24.4,36,167,40.2
64,1,159.3,56.5,19.8,82,154,-1.4,16,144,34.2
41,1,175.7,81.2,22,80,117,14.3,42,199,43.7
22,0,158.5,49.3,27,37,77,21,59,178,27.1
21,0,170.5,67.8,30.7,54,102,9.8,39,166,29.7
44,1,177.4,87.9,25.9,95,155,5.2,28,214,48.7
50,0,157.3,51.1,29.1,70,118,20.5,33,164,21.6
26,1,180.8,69.26,13.6,80,120,1.5,53,249,44
53,1,167,65.7,23.7,99,153,14.2,32,185,33.7
29,1,185,85.8,23.6,92,129,17.2,55,231,51
47,1,177.7,87.7,28.5,82,129,12.2,44,204,40.4
25,1,179.4,74.3,12.4,92,139,20.9,58,270,49.1
40,0,159.1,50.4,16.6,67,115,25.7,32,162,28.7
51,0,161.2,47.8,17.1,75,123,14.1,29,154,23.9
40,0,163.3,47.7,16.1,70,122,27.6,32,185,27.9
27,0,169.8,64.9,26.9,83,132,12.3,49,159,31.3
24,1,179.4,78.1,23.9,76,121,-13.1,37,217,37.9
28,1,171.4,68.3,12.6,62,130,12.3,52,228,35.9
43,1,174.6,104.9,36.2,97,150,-1.3,22,173,32.7
54,1,176,68.9,18.9,82,149,10.5,44,182,40.2
23,0,167.2,54.8,24.5,80,110,19.5,39,175,29
28,1,175.4,69.9,14.9,82,143,23.8,58,230,45.9
29,1,170,66,20.6,95,145,6,38,185,39.6
54,1,163,75.5,23.1,77,138,3.3,42,207,46.7
23,1,178.6,83.9,17.9,76,123,16.6,43,243,48.5
35,0,158.3,70.1,32.8,72,124,21.4,41,149,29.1
29,0,161.4,61.8,29.8,57,118,18.7,41,168,24.6
37,1,174.1,80.2,28.2,66,122,-7.7,40,193,35.6
29,1,178.8,72.9,13.7,62,128,8.1,51,243,51.1
45,1,160,59.3,20.2,78,118,11.5,40,220,31
22,0,159.1,51.3,29.1,73,111,7.9,24,154,21.3
47,1,174.3,78.1,22.8,83,142,16.8,52,231,46.7
44,1,176.9,85.2,24.7,86,143,2.9,44,192,50.4
26,0,161.9,53.9,20.7,68,110,26,40,173,30.3
32,1,165.9,74.8,24.3,91,150,17.1,54,229,42.2
48,0,161.5,49.4,22.4,59,112,11,37,157,19.9
56,1,162.3,56.68,15.9,91,141,9,23,138,34.5
26,1,180.6,73.4,17.5,99,152,11.2,44,236,41
22,1,177.1,71.4,18.1,79,138,11.6,57,158,51
43,0,166.2,51.8,16.5,91,141,15.8,40,165,35.9
37,0,170,63,25.9,58,112,20.4,35,190,33.4
33,0,162.7,53.9,33.4,73,133,30.4,42,175,27.6
48,1,168.6,71,22,98,147,7,39,225,49.7
22,1,175.8,66.6,14.7,71,128,2.9,52,240,34.2
27,1,173.9,79,27,80,139,0.2,39,206,31.6
38,1,171.4,71.7,17.2,90,150,21.3,54,216,42.5
62,1,164.5,64.02,17.8,65,152,13,26,205,41
31,1,176.5,69.3,12.7,64,106,10.6,58,253,46.6
22,1,175,69.8,15,63,128,26.8,60,276,50.3
29,1,179,79.1,5,62,118,10.3,46,209,53.9
22,1,170,73.6,23.9,65,102,7,57,217,36.5
50,0,153.9,43.8,23.2,65,121,18.5,19,138,22
32,1,176.3,71.8,21.2,72,126,15.4,45,209,45.3
46,1,163.5,71.1,28.6,85,144,14.9,35,204,37.9
31,1,178,78.2,19.4,79,134,11.9,48,218,45.7
22,1,179.6,70,13.1,74,127,16.7,51,248,49.7
28,1,176.2,83.7,20.5,76,109,7.8,46,211,46.2
31,1,173.7,83.8,29.6,99,128,27.5,60,204,39.3
59,1,165.7,57.6,13.6,60,124,13.5,41,186,33
34,0,162.1,79.3,43.5,96,155,20.1,13,135,24.6
37,1,170.8,60.5,11.5,79,117,14.1,35,233,42.8
64,0,153.2,50.1,28.2,98,159,26,21,115,23.3
63,0,147.4,52.1,31.1,77,142,20.2,23,87,20
25,0,160,53.1,26.1,79,115,34.8,33,108,18.1
57,0,159.2,68.6,32.1,91,154,20.6,0,133,30.2
41,1,177.1,74.9,17,73,118,17.8,50,240,47.8
27,1,179.5,87,19.5,85,139,7.1,57,212,46.3
48,1,166.9,69.5,26.8,95,148,11.9,43,189,40
26,0,157.6,50.1,23.9,63,111,22,52,160,24.2
30,1,179.5,90.8,18.3,79,130,21.3,51,230,56.9
34,1,175,71,19.7,87,157,20.5,57,233,45.9
23,1,182.7,67.6,11.6,91,150,-11,39,234,45.4
30,1,185,77.9,21,89,141,15.6,44,195,42.8
25,1,175,72.6,22,88,120,21.2,58,226,49.8
25,1,174.3,79.68,20.5,84,142,28.5,38,217,54.7
35,1,184.6,79,22.6,85,131,6.7,45,194,45.5
54,0,162.4,56.2,23.7,96,145,16.6,19,143,28
50,0,154.6,53.2,25.1,69,114,20.2,23,158,27.9
21,1,175.1,103.6,39.1,89,147,-14.3,20,119,28.8
64,0,163.6,55.2,27.1,67,112,20.9,29,126,22.7
24,1,173.6,71.2,17.1,85,152,9.4,53,209,53.4
39,0,167.8,65.7,30.1,85,127,23.8,43,174,35.9
21,1,183,80.1,17.6,72,138,21,52,238,44.7
27,1,165.8,73.8,29.1,84,143,6,39,197,35.3
36,1,166.7,74.1,20.3,85,152,22.9,59,243,46.3
23,0,162.7,63.9,36.7,77,134,27.3,30,169,30.5
24,0,164.8,52,22.1,63,101,24.7,42,153,26.2
62,0,162.4,68.1,25.3,80,120,12.5,18,140,29.4
39,0,161.5,52,26.4,67,118,22.5,20,188,23.6
62,0,155,50.7,31.1,90,141,28.3,11,150,23
22,0,154.8,59.3,34.2,79,112,10.1,48,167,30.6
64,0,158,62.3,32.8,94,148,21.2,7,121,22.4
22,1,172.1,80.2,23,80,131,5.9,61,168,49.6
22,1,172.9,76.3,20.7,89,139,13.9,49,212,56.4
24,0,165.2,53.7,28.9,68,105,23.3,45,163,21.8
43,1,171.3,65.76,22.9,73,115,13.4,50,198,31.7
25,1,176.4,70.4,19.3,94,136,7.5,31,234,42.1
36,0,156.1,48.9,21.8,89,133,24.5,30,166,28.3
49,1,181.9,73.4,16.4,74,133,-7,36,200,40.7
54,0,150.9,54.4,32.6,65,108,24.7,21,148,22.1
56,1,173.7,76.3,20.3,77,140,16.5,38,215,45.5
24,1,179.3,86.4,22.57,71,155,16.1,49,232,44.9
46,1,176.1,69.2,11.3,81,151,16.3,42,238,48.1
24,0,160,51.8,32.8,80,130,10.2,24,120,23
21,1,174.8,78.7,20.1,65,141,12.5,58,199,45.9
21,0,160.8,48.9,27.3,68,113,17,47,193,26.5
25,0,168.1,57.5,30.2,60,96,19.8,30,174,26.9
21,1,169.5,61.6,12.4,78,136,19.3,64,200,27.2
51,1,169,69,23,56,112,12.8,27,224,33.7
21,1,175.8,66.26,9.9,85,133,14.6,42,182,42.2
